query,n_posts,unique_authors,total_replies,avg_replies,total_likes,avg_likes
#devilwearsprada2,98,89,23,0.23,240,2.45
"""anna wintour"" prada",94,85,47,0.5,387,4.12
"""doechii"" prada",94,82,16,0.17,211,2.24
"""lady gaga"" prada",92,75,31,0.34,502,5.46
"""miranda priestly""",92,89,43,0.47,530,5.76
"""stanley tucci"" prada",83,77,58,0.7,1215,14.64
"""emily blunt"" prada",77,68,37,0.48,442,5.74
"""anne hathaway"" prada",75,73,105,1.4,1452,19.36
"""meryl streep"" prada",67,60,23,0.34,119,1.78
"""the devil wears prada""",59,57,12,0.2,98,1.66
"""the devil wears prada 2""",55,48,25,0.45,116,2.11
"""devil wears prada 2""",53,51,25,0.47,146,2.75
